token,score
hap,9.157647535066344
▁hear,9.162509461310906
rai,9.16286342801717
hil,9.163018056875703
onl,9.164119937558953
face,9.165988098138426
ttle,9.166949605298722
▁dis,9.16801806367025
goi,9.170452485308864
goin,9.170452485308864
going,9.170452485308864
qui,9.173795277433596
ving,9.173880013291525
ock,9.175181171652074
nu,9.175593802251122
▁goi,9.178121585384321
▁goin,9.178121585384321
▁going,9.178121585384321
ched,9.181578490725526
appe,9.182391539615107
▁tur,9.183433856749293
▁onl,9.186324704589746
nger,9.186900325932632
▁will,9.190191719249558
only,9.191575259504866
bec,9.19260784556981
stan,9.19356401239695
▁awa,9.194160217568804
eel,9.195165628074262
▁only,9.198155006059
▁fir,9.199052066561412
hrou,9.200374413514801
tri,9.2013845926936
eri,9.202904033483149
omet,9.203281621602185
throu,9.203671393921397
throug,9.203671393921397
through,9.203671393921397
hroug,9.203671393921397
hrough,9.203671393921397
wel,9.203910750279746
take,9.204163717374293
aft,9.204580951719183
kne,9.206382931971838
▁throu,9.208262256935031
▁throug,9.208262256935031
▁through,9.208262256935031
▁min,9.209395485539527
▁bec,9.210358755643137
pin,9.210649736599578
▁turn,9.211697666200607
shou,9.213936723633484
somet,9.215146440775708
ooke,9.21571147664615
tre,9.216712876708343
▁shou,9.217533644309386
ooked,9.217874048538876
ise,9.218222204992907
ies,9.219123699242378
sha,9.21946923276639
ja,9.220576967745465
oss,9.22197256227532
▁somet,9.223267257428184
▁wal,9.223996644782847
room,9.226075628429255
des,9.229796897213227
ward,9.234255013624681
unde,9.236061564141364
wher,9.239636114373367
where,9.239636114373367
lat,9.240747683548731
ause,9.24147899528575
ks,9.247776608712746
▁face,9.248602816380211
▁ins,9.248711454444734
og,9.250080675549903
nted,9.250514364173005
ph,9.250531715630725
looke,9.253420984779394
▁par,9.254834694514166
looked,9.255666756689475
sen,9.257413961567188
thought,9.257682422422363
hought,9.257682422422363
noth,9.25927083355848
say,9.260343921447676
▁looke,9.260369409341724
▁looked,9.260369409341724
inst,9.261622302636702
▁thought,9.261633467774676
ays,9.26316586877179
fter,9.264292723105665
need,9.264492652571215
▁nee,9.266340291753789
▁need,9.266340291753789
gre,9.266474915336838
afte,9.266548645455787
▁say,9.269457304130878
rned,9.269757962446224
cre,9.26997989661953
inc,9.270200271305644
after,9.270280712121357
ret,9.27352303138094
oll,9.27557828479384
hy,9.277218081878289
doo,9.279857434068566
▁res,9.280166110644576
▁aft,9.280647186182712
▁afte,9.280647186182712
▁after,9.280647186182712
ien,9.281863909443723
sing,9.282042964262649
lig,9.284262648649106
each,9.285176725495202
ner,9.28538904145481
▁here,9.289013523330123
till,9.289995948819023
▁thing,9.291769709458563
▁op,9.29250477084955
door,9.293385253246178
read,9.29357461709126
ark,9.2945697781209
stil,9.29678277995068
pos,9.297086810673344
come,9.29813344900161
gin,9.298159918514521
▁doo,9.299187808178896
▁take,9.302090134563391
ish,9.30210176079982
eca,9.305437423592203
▁gl,9.305757433195222
mad,9.306074210208529
arr,9.30697841012833
bro,9.309214056063132
sit,9.310295240383164
iss,9.310330406867164
yt,9.3121473488377
▁door,9.312981498326373
hol,9.313384556197503
eath,9.315533579454785
dea,9.31620715024728
away,9.316758131623052
still,9.318419652456754
▁gra,9.318615505770003
xp,9.319172884550328
rec,9.319730574175026
exp,9.31992499366019
du,9.320961972271757
shoul,9.321175252883833
should,9.321175252883833
houl,9.321175252883833
hould,9.321175252883833
